"gene_id","gene_name","gene_type","pvalue","adj.P.Val","logFC"
"ENSG00000280071","GATD3B","protein_coding",2.50559012488628e-29,3.04253808864941e-25,-4.50115531628095
"ENSG00000179344","HLA-DQB1","protein_coding",1.68646332592983e-27,1.02393620833829e-23,2.76579361782361
"ENSG00000196735","HLA-DQA1","protein_coding",1.47907352408228e-24,5.98679660097705e-21,3.25104564928978
"ENSG00000204257","HLA-DMA","protein_coding",3.95481979376604e-24,1.20058441889253e-20,1.96198626783894
"ENSG00000203747","FCGR3A","protein_coding",4.43460174949147e-21,1.0769873808815e-17,2.47454177189866
"ENSG00000158869","FCER1G","protein_coding",9.45747900981717e-21,1.91403612693683e-17,2.0926087869009
"ENSG00000143226","FCGR2A","protein_coding",2.82365560866918e-20,4.89823572229569e-17,2.10949783219811
"ENSG00000223865","HLA-DPB1","protein_coding",3.78318587754746e-20,5.74240326388236e-17,2.08127669706137
"ENSG00000105697","HAMP","protein_coding",9.95192200209386e-20,1.34273543190473e-16,3.15586356979397
"ENSG00000159189","C1QC","protein_coding",1.18041274127725e-19,1.43337519173296e-16,2.12760040078467
"ENSG00000173369","C1QB","protein_coding",2.04901608925865e-19,2.26192748835161e-16,2.31692885501152
"ENSG00000231389","HLA-DPA1","protein_coding",8.97989164051525e-19,9.08690201589806e-16,2.65419450856518
"ENSG00000204287","HLA-DRA","protein_coding",1.3434740330333e-18,1.25490809100949e-15,2.85623442879709
"ENSG00000196126","HLA-DRB1","protein_coding",5.10316252300645e-18,4.42626446549052e-15,1.87464240196626
"ENSG00000129667","RHBDF2","protein_coding",6.68115062985563e-18,5.40861413988913e-15,1.70080685599099
"ENSG00000133433","GSTT2B","protein_coding",1.03954708491906e-17,7.88951265760757e-15,1.91962528046341
"ENSG00000170458","CD14","protein_coding",1.20184518369395e-17,8.58470945035037e-15,1.83549047771202
"ENSG00000064886","CHI3L2","protein_coding",3.74031489340533e-17,2.52325798614561e-14,2.82218931091651
"ENSG00000037241","RPL26L1","protein_coding",8.38866359821943e-17,5.36123905648308e-14,-0.948918282051491
"ENSG00000126264","HCST","protein_coding",2.39844374628886e-16,1.45621512055928e-13,1.44434928393091
"ENSG00000163131","CTSS","protein_coding",7.472134263524e-16,4.25590015428594e-13,1.71922504066294
"ENSG00000214402","LCNL1","protein_coding",7.71059897836536e-16,4.25590015428594e-13,1.66044189204643
"ENSG00000133048","CHI3L1","protein_coding",9.7342805474186e-16,5.139276899448e-13,1.52596862405186
