"gene_id","gene_name","gene_type","pvalue","adj.P.Val","logFC"
"ENSG00000105894","PTN","protein_coding",2.26015396477471e-08,0.000251464730120834,2.09700039473818
"ENSG00000106484","MEST","protein_coding",1.50044789772064e-07,0.000834699165501991,1.40638322293531
"ENSG00000124766","SOX4","protein_coding",2.47447598486813e-07,0.000917700660254761,2.48755320401443
"ENSG00000164692","COL1A2","protein_coding",3.3235206934617e-07,0.000924437280886372,1.93966677903616
"ENSG00000176887","SOX11","protein_coding",5.66641626622767e-07,0.00105074245630082,2.18130586322108
"ENSG00000077279","DCX","protein_coding",5.15455385248934e-07,0.00105074245630082,1.70370430144942
"ENSG00000155380","SLC16A1","protein_coding",9.02111534885573e-07,0.00111377598459442,1.44295608858973
"ENSG00000115129","TP53I3","protein_coding",7.97517289157575e-07,0.00111377598459442,1.88872716940716
"ENSG00000138413","IDH1","protein_coding",9.06368128320271e-07,0.00111377598459442,1.28333746489983
"ENSG00000141542","RAB40B","protein_coding",1.00105696979546e-06,0.00111377598459442,-1.01369936708367
"ENSG00000138795","LEF1","protein_coding",1.43827143851822e-06,0.0014547461840867,2.20297349652728
"ENSG00000132692","BCAN","protein_coding",1.83545140168397e-06,0.00157086402270276,1.01475681434088
"ENSG00000134982","APC","protein_coding",1.74132200324921e-06,0.00157086402270276,1.29026169803769
"ENSG00000204347","BTBD17","protein_coding",2.17827758010539e-06,0.00161570109041684,1.91297923838684
"ENSG00000142156","COL6A1","protein_coding",2.15719055739381e-06,0.00161570109041684,1.27072452240251
"ENSG00000145681","HAPLN1","protein_coding",3.5636827780003e-06,0.00244002578647707,1.58122524376386
"ENSG00000242114","MTFP1","protein_coding",3.7282436068767e-06,0.00244002578647707,1.52905088009255
"ENSG00000125814","NAPB","protein_coding",4.72858817753855e-06,0.00292279289240522,-1.0201633955415
"ENSG00000163399","ATP1A1","protein_coding",5.3443603145907e-06,0.00311360605954821,-0.962966966910588
"ENSG00000135750","KCNK1","protein_coding",5.59699093932808e-06,0.00311360605954821,-1.06941975156439
"ENSG00000076604","TRAF4","protein_coding",6.2170995210446e-06,0.00329387853672106,1.24151338474113
"ENSG00000179796","LRRC3B","protein_coding",8.40867285483283e-06,0.0040760240960511,1.68029583654337
"ENSG00000260260","SNHG19","lncRNA",8.42607893305548e-06,0.0040760240960511,1.07400668015732
"ENSG00000107317","PTGDS","protein_coding",9.01796746726249e-06,0.0041805794183651,-1.28043752397661
"ENSG00000064692","SNCAIP","protein_coding",1.00096262856358e-05,0.00440767339303012,1.4879084700202
"ENSG00000021300","PLEKHB1","protein_coding",1.0300153533955e-05,0.00440767339303012,-1.22289287578968
"ENSG00000177283","FZD8","protein_coding",1.07047817351238e-05,0.0044111630216662,1.52007127170463
"ENSG00000189171","S100A13","protein_coding",1.28269769625581e-05,0.00460364340920716,-1.25176718881912
"ENSG00000116852","KIF21B","protein_coding",1.25268122253272e-05,0.00460364340920716,1.15099048661013
"ENSG00000127334","DYRK2","protein_coding",1.25855759383781e-05,0.00460364340920716,1.24448481121368
"ENSG00000256463","SALL3","protein_coding",1.20517666590408e-05,0.00460364340920716,1.44501917511079
"ENSG00000069424","KCNAB2","protein_coding",1.47804072426452e-05,0.00491016844302268,-0.910112435949676
"ENSG00000144230","GPR17","protein_coding",1.43743631967917e-05,0.00491016844302268,1.81238935850174
"ENSG00000132639","SNAP25","protein_coding",1.50050087239593e-05,0.00491016844302268,-0.957370109380003
"ENSG00000114646","CSPG5","protein_coding",1.72313104603377e-05,0.00518150162653291,1.29004624860861
"ENSG00000164305","CASP3","protein_coding",1.70880281282042e-05,0.00518150162653291,0.91839779177354
"ENSG00000164434","FABP7","protein_coding",1.67823511954916e-05,0.00518150162653291,1.50619697171172
"ENSG00000020129","NCDN","protein_coding",1.81029993844354e-05,0.00530036766187443,-0.886426008654743
"ENSG00000049323","LTBP1","protein_coding",2.05773720984892e-05,0.00587035492225105,1.48805734707511
"ENSG00000197965","MPZL1","protein_coding",2.20655301224868e-05,0.00613752720356969,0.85535139903985
"ENSG00000086289","EPDR1","protein_coding",2.27280840845774e-05,0.00616762593963435,-0.970788381574425
"ENSG00000131100","ATP6V1E1","protein_coding",2.36880586727027e-05,0.00627507954267835,-0.910538434733413
"ENSG00000141503","MINK1","protein_coding",2.52410763592568e-05,0.00653098175751375,-0.990064740755842
"ENSG00000006283","CACNA1G","protein_coding",2.7401208162295e-05,0.00692876913667486,1.51335966708889
"ENSG00000182013","PNMA8A","protein_coding",2.80950953793364e-05,0.00694635624867771,-0.782050838398215
"ENSG00000116661","FBXO2","protein_coding",3.17061173156877e-05,0.00766874480987698,-1.38008340445907
"ENSG00000197977","ELOVL2","protein_coding",3.27951371470379e-05,0.00776337650846689,1.14142778696956
"ENSG00000125869","LAMP5","protein_coding",3.4441459027507e-05,0.00798324319041755,-1.35798345113035
"ENSG00000108854","SMURF2","protein_coding",3.59402949705435e-05,0.00799743443684534,1.16906756946237
"ENSG00000153822","KCNJ16","protein_coding",3.57415351618242e-05,0.00799743443684534,1.92064556077336
"ENSG00000211448","DIO2","protein_coding",4.1193016580104e-05,0.0089865392641223,2.0279943849793
"ENSG00000143333","RGS16","protein_coding",4.41721560346545e-05,0.00910110014891788,2.29403595634398
"ENSG00000120278","PLEKHG1","protein_coding",4.34011180232897e-05,0.00910110014891788,1.11475014623702
"ENSG00000004660","CAMKK1","protein_coding",4.31820811544179e-05,0.00910110014891788,-0.984311052088773
"ENSG00000164176","EDIL3","protein_coding",4.97999289422362e-05,0.00940416414945998,-0.797807489266712
"ENSG00000157214","STEAP2","protein_coding",4.75352627652885e-05,0.00940416414945998,-1.17712011933277
"ENSG00000169499","PLEKHA2","protein_coding",4.81163234872376e-05,0.00940416414945998,-0.98968600839971
"ENSG00000122359","ANXA11","protein_coding",4.96599889741571e-05,0.00940416414945998,-0.888783039943514
"ENSG00000011201","ANOS1","protein_coding",4.98692867893348e-05,0.00940416414945998,0.91828856913964
"ENSG00000149257","SERPINH1","protein_coding",5.40212710783855e-05,0.0100173443669686,2.46758068564474
"ENSG00000144583","MARCH4","protein_coding",5.79766542757471e-05,0.0102388611979676,0.991575990469716
"ENSG00000079215","SLC1A3","protein_coding",5.76099787470928e-05,0.0102388611979676,0.859548179242969
"ENSG00000148180","GSN","protein_coding",5.79259387992254e-05,0.0102388611979676,-1.17851419255998
"ENSG00000165949","IFI27","protein_coding",5.90277482514413e-05,0.0102616051100865,1.0231843763697
"ENSG00000133816","MICAL2","protein_coding",6.00923712765814e-05,0.0102859649665114,-1.01042584187443
"ENSG00000125820","NKX2-2","protein_coding",6.81720027492079e-05,0.0114921470089043,1.55439985451637
"ENSG00000074800","ENO1","protein_coding",6.97239885379369e-05,0.0115783447234789,-0.642194405732136
"ENSG00000198478","SH3BGRL2","protein_coding",7.39963388894339e-05,0.0119058513997418,-1.08569134849869
"ENSG00000236197","AC002429.2","lncRNA",7.31106624019828e-05,0.0119058513997418,1.40907883585022
"ENSG00000168256","NKIRAS2","protein_coding",7.49064891229485e-05,0.0119058513997418,1.28251827813382
"ENSG00000055163","CYFIP2","protein_coding",7.63618514433987e-05,0.0119662247768909,-0.670756005141906
